No.,Title,Copies sold,As of,Release date,Genre(s),Developer(s),Publisher(s)
1,Mario Kart 8 Deluxe,33.41,31-Dec-20,28-Apr-17,Kart racing,Nintendo EPD,Nintendo
2,Animal Crossing: New Horizons,31.18,31-Dec-20,20-Mar-20,Social simulation,Nintendo EPD,Nintendo
3,Super Smash Bros. Ultimate,22.85,31-Dec-20,7-Dec-18,Fighting,Bandai Namco Studios,Nintendo
4,The Legend of Zelda: Breath of the Wild,21.45,31-Dec-20,3-Mar-17,Action-adventure,Nintendo EPD,Nintendo
5,Pokémon Sword and Shield,20.35,31-Dec-20,15-Nov-19,Role-playing,Game Freak,The Pokémon Company
6,Super Mario Odyssey,20.23,31-Dec-20,27-Oct-17,Platformer,Nintendo EPD,Nintendo
7,Super Mario Party,13.82,31-Dec-20,5-Oct-18,Party,NDcube,Nintendo
8,"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",13,31-Dec-20,16-Nov-18,Role-playing,Game Freak,The Pokémon Company
9,Splatoon 2,11.9,31-Dec-20,21-Jul-17,Third-person shooter,Nintendo EPD,Nintendo
10,New Super Mario Bros. U Deluxe,9.82,31-Dec-20,11-Jan-19,Platformer,Nintendo EPD,Nintendo
11,Luigi's Mansion 3,9.13,31-Dec-20,31-Oct-19,Action-adventure,Next Level Games,Nintendo
12,Ring Fit Adventure,8.68,31-Dec-20,18-Oct-19,Exergame,Nintendo EPD,Nintendo
13,Super Mario 3D All-Stars,8.32,31-Dec-20,18-Sep-20,Platformer,Nintendo,Nintendo
14,Super Mario Maker 2,6.91,31-Dec-20,28-Jun-19,Platformer,Nintendo EPD,Nintendo
15,The Legend of Zelda: Link's Awakening,4.38,31-Mar-20,20-Sep-19,Action-adventure,Grezzo,Nintendo
16,Hyrule Warriors: Age of Calamity,3.5,31-Dec-20,20-Nov-20,Hack and slash,Omega Force,JP: Koei Tecmo
17,Among Us,3.2,31-Dec-20,15-Dec-20,Party,Innersloth,Innersloth
18,1-2-Switch,3.18,31-Dec-19,3-Mar-17,Party,Nintendo EPD,Nintendo
19,Mario Tennis Aces,3.06,31-Dec-19,22-Jun-18,Sports,Camelot Software Planning,Nintendo
20,Paper Mario: The Origami King,3.05,31-Dec-20,17-Jul-20,Role-playing,Intelligent Systems,Nintendo
21,Kirby Star Allies,2.93,31-Dec-19,16-Mar-18,Platformer,HAL Laboratory,Nintendo
22,Fire Emblem: Three Houses,2.87,31-Mar-20,26-Jul-19,Tactical role-playing,Intelligent Systems,Nintendo
23,Donkey Kong Country: Tropical Freeze,2.65,31-Dec-19,4-May-18,Platformer,Retro Studios,Nintendo
24,Clubhouse Games: 51 Worldwide Classics,2.62,31-Dec-20,5-Jun-20,Tabletop game,NDcube,Nintendo
25,"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",2.5,4-Feb-21,19-Nov-20,Board game,Konami,JP: Konami
26,Arms,2.38,31-Dec-19,16-Jun-17,Fighting,Nintendo EPD,Nintendo
27,Minecraft,2.24,1-Nov-20,11-May-17,Sandbox,Mojang,JP: Xbox Game Studios
28,Mario + Rabbids Kingdom Battle,2,2-Sep-18,29-Aug-17,Tactical role-playing,Ubisoft Paris,NA/PAL: Ubisoft
29,Octopath Traveler,2,18-Mar-20,13-Jul-18,Role-playing,Square Enix,JP: Square Enix
30,Pikmin 3 Deluxe,1.94,31-Dec-20,30-Oct-20,Real-time strategy,Nintendo EPD,Nintendo
31,Xenoblade Chronicles 2,1.92,31-Dec-19,1-Dec-17,Action role-playing,Monolith Soft,Nintendo
32,Yoshi's Crafted World,1.84,31-Dec-19,29-Mar-19,Platformer,Good-Feel,Nintendo
33,Xenoblade Chronicles: Definitive Edition,1.48,31-Dec-20,29-May-20,Action role-playing,Monolith Soft,Nintendo
34,Captain Toad: Treasure Tracker,1.44,31-Dec-19,13-Jul-18,Action puzzle,Nintendo EPD,Nintendo
35,Nintendo Labo Toy-Con 01: Variety Kit,1.31,31-Dec-19,20-Apr-18,Construction kit,Nintendo EPD,Nintendo
36,Pokémon Mystery Dungeon: Rescue Team DX,1.26,31-Mar-20,6-Mar-20,Roguelike,Spike Chunsoft,Nintendo
37,Pokkén Tournament DX,1.16,31-Mar-18,22-Sep-17,Fighting,Bandai Namco Studios,JP: The Pokémon Company
38,Astral Chain,1.08,31-Mar-20,30-Aug-19,Action-adventure,PlatinumGames,Nintendo
39,Marvel Ultimate Alliance 3: The Black Order,1.08,31-Mar-20,19-Jul-19,Action role-playing,Team Ninja,Nintendo
40,Mario Kart Live: Home Circuit,1.08,31-Dec-20,16-Oct-20,Kart racing,Velan Studios,Nintendo
41,Enter the Gungeon,1,3-Mar-19,14-Dec-17,Bullet hell,Dodge Roll,Devolver Digital
42,Fitness Boxing,1,8-Sep-20,20-Dec-18,Exergame,Imagineer,JP: Imagineer
43,Taiko no Tatsujin: Drum 'n' Fun!,1,3-Jul-20,19-Jul-18,Rhythm,Bandai Namco Studios,Bandai Namco Entertainment
